shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
SHP_CMRL_BLUE_1,13.062500,80.266200,22
SHP_CMRL_BLUE_1,13.064777,80.268147,23
SHP_CMRL_BLUE_1,13.067054,80.270094,24
SHP_CMRL_BLUE_1,13.069400,80.272100,25
SHP_CMRL_BLUE_1,13.073789,80.273189,26
SHP_CMRL_BLUE_1,13.078178,80.274278,27
SHP_CMRL_BLUE_1,13.082700,80.275400,28
SHP_CMRL_GREEN_0,13.082700,80.275400,1
SHP_CMRL_GREEN_0,13.081149,80.270648,2
SHP_CMRL_GREEN_0,13.079598,80.265896,3
SHP_CMRL_GREEN_0,13.078000,80.261000,4
SHP_CMRL_GREEN_0,13.078330,80.257700,5
SHP_CMRL_GREEN_0,13.078660,80.254400,6
SHP_CMRL_GREEN_0,13.079000,80.251000,7
SHP_CMRL_GREEN_0,13.078670,80.247700,8
SHP_CMRL_GREEN_0,13.078340,80.244400,9
SHP_CMRL_GREEN_0,13.078000,80.241000,10
SHP_CMRL_GREEN_0,13.077670,80.236710,11
SHP_CMRL_GREEN_0,13.077340,80.232420,12
SHP_CMRL_GREEN_0,13.077000,80.228000,13
SHP_CMRL_GREEN_0,13.079310,80.225030,14
SHP_CMRL_GREEN_0,13.081620,80.222060,15
SHP_CMRL_GREEN_0,13.084000,80.219000,16
SHP_CMRL_GREEN_0,13.084330,80.212400,17
SHP_CMRL_GREEN_0,13.084660,80.205800,18
SHP_CMRL_GREEN_0,13.085000,80.199000,19
SHP_CMRL_GREEN_0,13.079720,80.197350,20
SHP_CMRL_GREEN_0,13.074440,80.195700,21
SHP_CMRL_GREEN_0,13.069000,80.194000,22
SHP_CMRL_GREEN_1,13.069000,80.194000,1
SHP_CMRL_GREEN_1,13.074280,80.195650,2
SHP_CMRL_GREEN_1,13.079560,80.197300,3
SHP_CMRL_GREEN_1,13.085000,80.199000,4
SHP_CMRL_GREEN_1,13.084670,80.205600,5
SHP_CMRL_GREEN_1,13.084340,80.212200,6
SHP_CMRL_GREEN_1,13.084000,80.219000,7
SHP_CMRL_GREEN_1,13.081690,80.221970,8
SHP_CMRL_GREEN_1,13.079380,80.224940,9
SHP_CMRL_GREEN_1,13.077000,80.228000,10
SHP_CMRL_GREEN_1,13.077330,80.232290,11
SHP_CMRL_GREEN_1,13.077660,80.236580,12
SHP_CMRL_GREEN_1,13.078000,80.241000,13
SHP_CMRL_GREEN_1,13.078330,80.244300,14
SHP_CMRL_GREEN_1,13.078660,80.247600,15
SHP_CMRL_GREEN_1,13.079000,80.251000,16
SHP_CMRL_GREEN_1,13.078670,80.254300,17
SHP_CMRL_GREEN_1,13.078340,80.257600,18
SHP_CMRL_GREEN_1,13.078000,80.261000,19
SHP_CMRL_GREEN_1,13.079551,80.265752,20
SHP_CMRL_GREEN_1,13.081102,80.270504,21
SHP_CMRL_GREEN_1,13.082700,80.275400,22
SHP_MTC_29C_0,13.111000,80.243000,1
SHP_MTC_29C_0,13.101661,80.253692,2
SHP_MTC_29C_0,13.092322,80.264384,3
SHP_MTC_29C_0,13.082700,80.275400,4
SHP_MTC_29C_0,13.076034,80.272364,5
SHP_MTC_29C_0,13.069368,80.269328,6
SHP_MTC_29C_0,13.062500,80.266200,7
SHP_MTC_29C_0,13.056725,80.260194,8
SHP_MTC_29C_0,13.050950,80.254188,9
SHP_MTC_29C_0,13.045000,80.248000,10
SHP_MTC_29C_0,13.029424,80.250706,11
SHP_MTC_29C_0,13.013848,80.253412,12
SHP_MTC_29C_0,12.997800,80.256200,13
SHP_MTC_29C_0,12.998196,80.261084,14
SHP_MTC_29C_0,12.998592,80.265968,15
SHP_MTC_29C_0,12.999000,80.271000,16
SHP_MTC_29C_1,12.999000,80.271000,1
SHP_MTC_29C_1,12.998604,80.266116,2
SHP_MTC_29C_1,12.998208,80.261232,3
SHP_MTC_29C_1,12.997800,80.256200,4
SHP_MTC_29C_1,13.013376,80.253494,5
SHP_MTC_29C_1,13.028952,80.250788,6
SHP_MTC_29C_1,13.045000,80.248000,7
SHP_MTC_29C_1,13.050775,80.254006,8
SHP_MTC_29C_1,13.056550,80.260012,9
SHP_MTC_29C_1,13.062500,80.266200,10
SHP_MTC_29C_1,13.069166,80.269236,11
SHP_MTC_29C_1,13.075832,80.272272,12
SHP_MTC_29C_1,13.082700,80.275400,13
SHP_MTC_29C_1,13.092039,80.264708,14
SHP_MTC_29C_1,13.101378,80.254016,15
SHP_MTC_29C_1,13.111000,80.243000,16
SHP_MTC_18A_0,13.088000,80.288000,1
SHP_MTC_18A_0,13.086251,80.283842,2
SHP_MTC_18A_0,13.084502,80.279684,3
SHP_MTC_18A_0,13.082700,80.275400,4
SHP_MTC_18A_0,13.076034,80.272364,5
SHP_MTC_18A_0,13.069368,80.269328,6
SHP_MTC_18A_0,13.062500,80.266200,7
SHP_MTC_18A_0,13.060355,80.261514,8
SHP_MTC_18A_0,13.058210,80.256828,9
SHP_MTC_18A_0,13.056000,80.252000,10
SHP_MTC_18A_0,13.050786,80.245961,11
SHP_MTC_18A_0,13.045572,80.239922,12
SHP_MTC_18A_0,13.040200,80.233700,13
SHP_MTC_18A_0,13.034524,80.231819,14
SHP_MTC_18A_0,13.028848,80.229938,15
SHP_MTC_18A_0,13.023000,80.228000,16
SHP_MTC_18A_0,13.018380,80.223050,17
SHP_MTC_18A_0,13.013760,80.218100,18
SHP_MTC_18A_0,13.009000,80.213000,19
SHP_MTC_18A_0,12.998770,80.196830,20
SHP_MTC_18A_0,12.988540,80.180660,21
SHP_MTC_18A_0,12.978000,80.164000,22
SHP_MTC_18A_1,12.978000,80.164000,1
SHP_MTC_18A_1,12.988230,80.180170,2
SHP_MTC_18A_1,12.998460,80.196340,3
SHP_MTC_18A_1,13.009000,80.213000,4
SHP_MTC_18A_1,13.013620,80.217950,5
SHP_MTC_18A_1,13.018240,80.222900,6
SHP_MTC_18A_1,13.023000,80.228000,7
SHP_MTC_18A_1,13.028676,80.229881,8
SHP_MTC_18A_1,13.034352,80.231762,9
SHP_MTC_18A_1,13.040200,80.233700,10
SHP_MTC_18A_1,13.045414,80.239739,11
SHP_MTC_18A_1,13.050628,80.245778,12
SHP_MTC_18A_1,13.056000,80.252000,13
SHP_MTC_18A_1,13.058145,80.256686,14
SHP_MTC_18A_1,13.060290,80.261372,15
SHP_MTC_18A_1,13.062500,80.266200,16
SHP_MTC_18A_1,13.069166,80.269236,17
SHP_MTC_18A_1,13.075832,80.272272,18
SHP_MTC_18A_1,13.082700,80.275400,19
SHP_MTC_18A_1,13.084449,80.279558,20
SHP_MTC_18A_1,13.086198,80.283716,21
SHP_MTC_18A_1,13.088000,80.288000,22
SHP_MTC_47A_0,13.069000,80.194000,1
SHP_MTC_47A_0,13.063390,80.199940,2
SHP_MTC_47A_0,13.057780,80.205880,3
SHP_MTC_47A_0,13.052000,80.212000,4
SHP_MTC_47A_0,13.048106,80.219161,5
SHP_MTC_47A_0,13.044212,80.226322,6
SHP_MTC_47A_0,13.040200,80.233700,7
SHP_MTC_47A_0,13.037164,80.236109,8
SHP_MTC_47A_0,13.034128,80.238518,9
SHP_MTC_47A_0,13.031000,80.241000,10
SHP_MTC_47A_0,13.020044,80.246016,11
SHP_MTC_47A_0,13.009088,80.251032,12
SHP_MTC_47A_0,12.997800,80.256200,13
SHP_MTC_47A_1,12.997800,80.256200,1
SHP_MTC_47A_1,13.008756,80.251184,2
SHP_MTC_47A_1,13.019712,80.246168,3
SHP_MTC_47A_1,13.031000,80.241000,4
SHP_MTC_47A_1,13.034036,80.238591,5
SHP_MTC_47A_1,13.037072,80.236182,6
SHP_MTC_47A_1,13.040200,80.233700,7
SHP_MTC_47A_1,13.044094,80.226539,8
SHP_MTC_47A_1,13.047988,80.219378,9
SHP_MTC_47A_1,13.052000,80.212000,10
SHP_MTC_47A_1,13.057610,80.206060,11
SHP_MTC_47A_1,13.063220,80.200120,12
SHP_MTC_47A_1,13.069000,80.194000,13
SHP_MTC_23C_0,13.082700,80.275400,1
SHP_MTC_23C_0,13.078311,80.274311,2
SHP_MTC_23C_0,13.073922,80.273222,3
SHP_MTC_23C_0,13.069400,80.272100,4
SHP_MTC_23C_0,13.067288,80.275697,5
SHP_MTC_23C_0,13.065176,80.279294,6
SHP_MTC_23C_0,13.063000,80.283000,7
SHP_MTC_23C_0,13.041484,80.274156,8
SHP_MTC_23C_0,13.019968,80.265312,9
SHP_MTC_23C_0,12.997800,80.256200,10
SHP_MTC_23C_0,12.998196,80.261084,11
SHP_MTC_23C_0,12.998592,80.265968,12
SHP_MTC_23C_0,12.999000,80.271000,13
SHP_MTC_23C_1,12.999000,80.271000,1
SHP_MTC_23C_1,12.998604,80.266116,2
SHP_MTC_23C_1,12.998208,80.261232,3
SHP_MTC_23C_1,12.997800,80.256200,4
SHP_MTC_23C_1,13.019316,80.265044,5
SHP_MTC_23C_1,13.040832,80.273888,6
SHP_MTC_23C_1,13.063000,80.283000,7
SHP_MTC_23C_1,13.065112,80.279403,8
SHP_MTC_23C_1,13.067224,80.275806,9
SHP_MTC_23C_1,13.069400,80.272100,10
SHP_MTC_23C_1,13.073789,80.273189,11
SHP_MTC_23C_1,13.078178,80.274278,12
SHP_MTC_23C_1,13.082700,80.275400,13
SHP_SR_SOUTH_0,13.083000,80.283000,1
SHP_SR_SOUTH_0,13.078000,80.261000,2
SHP_SR_SOUTH_0,13.036000,80.229500,3
SHP_SR_SOUTH_0,13.008500,80.213500,4
SHP_SR_SOUTH_0,12.978000,80.164000,5
SHP_SR_SOUTH_0,12.924900,80.120000,6
SHP_SR_SOUTH_1,12.924900,80.120000,1
SHP_SR_SOUTH_1,12.978000,80.164000,2
SHP_SR_SOUTH_1,13.008500,80.213500,3
SHP_SR_SOUTH_1,13.036000,80.229500,4
SHP_SR_SOUTH_1,13.078000,80.261000,5
SHP_SR_SOUTH_1,13.083000,80.283000,6
SHP_SR_MRTS_0,13.083000,80.283000,1
SHP_SR_MRTS_0,13.064500,80.281500,2
SHP_SR_MRTS_0,13.063000,80.283000,3
SHP_SR_MRTS_0,13.006500,80.252000,4
SHP_SR_MRTS_0,12.975000,80.221000,5
SHP_SR_MRTS_1,12.975000,80.221000,1
SHP_SR_MRTS_1,13.006500,80.252000,2
SHP_SR_MRTS_1,13.063000,80.283000,3
SHP_SR_MRTS_1,13.064500,80.281500,4
SHP_SR_MRTS_1,13.083000,80.283000,5
